Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Lana,lana,"<p>Experience luxurious comfort with every step in Malow heels. Created with an ultra-padded footbed, gentle arch support and super soft materials, they will ensure you look and feel fabulous from day to night. This elegant sandal features a sturdy block heel for comfortable lift. Delicate diamanté-embellished front straps add a touch of sparkle, while the slim adjustable ankle strap ensures a secure fit. Perfect for special occasions or evening events, it combines modern glamour with effortless sophistication.</p><ul><li>Extra thick memory foam footbed</li><li>Built-in gentle arch support</li><li>Super soft vegan upper and lining</li><li>Signature pink sole with branded metal tab</li><li>Heel height approx. 5.5 cm</li></ul>",MALOW London,Apparel & Accessories > Shoes,Women's footwear,"party, everyday",TRUE,Active,LANA-GOLD-3,,UK size,3,,Color,gold,product.metafields.shopify.color-pattern,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_GOLD_copy-9fdda47f-82ec-4f08-af8b-5fdd0cf662a9.jpg?v=1778070897,1,gold,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_GOLD_copy-9fdda47f-82ec-4f08-af8b-5fdd0cf662a9.jpg?v=1778070897,FALSE,Lana | MALOW London,Diamanté-strap espadrille wedge with block heel,gold; silver; black,Apparel & Accessories > Shoes,Female,Adult (13+ years old),,,,,,,,,,
,lana,,,,,,,,LANA-SILVER-3,,,3,,,silver,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_SILVER_copy-3b03f960-1c07-4d03-bced-385f0a46e96f.jpg?v=1778070899,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-BLACK-3,,,3,,,black,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_BLACK_copy-de975e57-42fc-42f2-8d4f-9553a8cb1bf8.jpg?v=1778070895,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-GOLD-4,,,4,,,gold,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_GOLD_copy-9fdda47f-82ec-4f08-af8b-5fdd0cf662a9.jpg?v=1778070897,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-SILVER-4,,,4,,,silver,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_SILVER_copy-3b03f960-1c07-4d03-bced-385f0a46e96f.jpg?v=1778070899,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-BLACK-4,,,4,,,black,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_BLACK_copy-de975e57-42fc-42f2-8d4f-9553a8cb1bf8.jpg?v=1778070895,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-GOLD-5,,,5,,,gold,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_GOLD_copy-9fdda47f-82ec-4f08-af8b-5fdd0cf662a9.jpg?v=1778070897,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-SILVER-5,,,5,,,silver,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_SILVER_copy-3b03f960-1c07-4d03-bced-385f0a46e96f.jpg?v=1778070899,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-BLACK-5,,,5,,,black,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_BLACK_copy-de975e57-42fc-42f2-8d4f-9553a8cb1bf8.jpg?v=1778070895,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-GOLD-6,,,6,,,gold,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_GOLD_copy-9fdda47f-82ec-4f08-af8b-5fdd0cf662a9.jpg?v=1778070897,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-SILVER-6,,,6,,,silver,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_SILVER_copy-3b03f960-1c07-4d03-bced-385f0a46e96f.jpg?v=1778070899,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-BLACK-6,,,6,,,black,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_BLACK_copy-de975e57-42fc-42f2-8d4f-9553a8cb1bf8.jpg?v=1778070895,FALSE,,,,,,,,,,,,,,,,
,lana,,,,,,,,LANA-GOLD-7,,,7,,,gold,,,,,75.00,,,TRUE,,,,,,shopify,0,DENY,650,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0980/9883/9879/files/LANA_GOLD_copy-9fdda47f-82ec-4f08-af8b-5fdd0cf662a9.jpg?v=1778070897,FALSE,,,,,,,,,,,,,,,,
